Country,Name,Description,City,Founders,Funding,Funding rounds,Industries,Number of employees,Number of investors,Started in
Poland,20) Telemedi.co,"For insurance and medical firms, revolutionizing healthcare services.",Warsaw,"Paweł Sieczkiewicz, Piotr Słomian","$7,389,296",2,"Health Care, Health Insurance, Insurance, InsurTech, Medical, Telecommunications",51-100,"5 (Flashpoint, Black Pearls VC, UNIQA Ventures, Adamed Group, PKO VC)",2014
Poland,21) Sundose,Sundose is a company that creates diet supplements based on research.,Lublin,"Greg Albrecht, Michal Golkiewicz, Piotr Smolen, Tomasz Styk","$8,367,685",5,"Big Data, Health Care, Manufacturing, Nutrition, Personal Health, Wellness",11-50,"13 (Investible, Atmos Ventures, DX Ventures, Kai Hansen, KnowledgeHub)",2018
Poland,22) ReSpo.Vision,ReSpo.Vision uses cutting-edge AI research to change football and utilize it to monitor and evaluate football games.,Warsaw,"Lukasz Grad, Mateusz Szala, Pawel Osterreicher, Wojciech Rosinski","€ 1,000,000",1,"Computer Vision, Machine Learning, Sports",,"2 (ff Venture Capital, RKKVC)",2020
Poland,23) edrone,Edrone is a self-contained e-commerce CRM software that specializes in advanced marketing automation.,Krakow,"Michal Blak, Rahim Blak","$5,879,737",2,"Analytics, Artificial Intelligence, Big Data, CRM, Data Mining, E-Commerce, Marketing Automation, Natural Language Processing, SaaS, Sales Automation",51-100,"2 (PortfoLion Capital Partners, Narodowe Centrum Badan i Rozwoju)",2014
Poland,24) ProperGate,"For complicated construction sites, a smart system automates delivery management.",Warsaw,"Anna Walkowska, Rafał Grudzień, Robert Grudzień","$1,307,793",4,"Construction, Industrial Automation, Information Services, Information Technology, Internet, Logistics, Software",11-50,"5 (Microsoft, SMOK Ventures, Polish Investment and Trade Agency, Stanislav Frnka, Grzegorz Strutyński)",2018
Poland,25) SALESmanago,The first no-code CDP and marketing automation tool that uses both first- and zero-party data to its maximum potential.,Kraków,"Grzegorz Blazewicz, Konrad Pawlus","$7,700,000",4,"Ad Network, Advertising, Analytics, B2B, B2C, Information Technology, Marketing Automation, Mobile, Social Media Marketing, Software",101-250,"2 (3TS Capital Partners, Rafał Brzoska)",2011
Poland,26) inSTREAMLY,inSTREAMLY is a platform that connects businesses and streamers through automated streamer management.,Warsaw,"Damian Konopka, Maciej Sawicki, Szymon Kubiak, Wiktoria Wójcik","$1,553,851",2,"Advertising, eSports, Gaming, SaaS, Software, Video Streaming",11-50,"6 (Colopl Next, SMOK Ventures, Supernode Global, Paul Bragiel, PKO BP)",2018
Poland,27) Vue Storefront,Vue Storefront is a Headless Commerce Frontend with Lightning Fast Performance.,Warsaw,"Bartłomiej Roszkowski, Filip Rakowski, Patrick Friday","$3,000,000",3,"E-Commerce, E-Commerce Platforms, Retail, Retail Technology, Software",11-50,"3 (Y Combinator, SMOK Ventures, Movens Capital)",2017
Poland,28) neptune.ai,"The simplest experiment management application available, adaptable to any workflow.",Warsaw,Piotr Niedzwiedz,"$4,700,000",2,"Analytics, Artificial Intelligence, Information Technology, Internet, Software",11-50,"6 (btov Partners, TDJ Pitango Ventures, Rheingau Founders, Marek Cygan, Mateusz Malinowski)",2017
Poland,29) SPOKO,Global money transfers with no hassles at interbank exchange rates,Warsaw,"Aliaksandr Horlach, EVGENY CHAMTONAU","$7,136,127",3,"Banking, Finance, Financial Services, FinTech",11-50,1 (FINTECH VENTURES),2017
Poland,30) Creamfinance,Creamfinance is a financial services firm that uses cutting-edge financial technology to provide its services.,Warsaw,"Dāvis Barons, Matiss Ansviesulis","$30,118,088",3,"Finance, Financial Services, FinTech, Machine Learning",101-250,"2 (Flint Capital, Capitec Bank)",2012
Poland,31) Revo Technologies,Revo Technologies is a significant fintech firm in Russia and Central and Eastern Europe.,Warsaw,"Fernando Silva, George Chesakov, Irene Shvakman","$27,000,000",4,"Finance, Financial Services, FinTech, Personal Finance",101-250,"3 (VEF, Baring Vostok Capital Partners, Castel Capital)",2012
Poland,32) Placeme,Placeme is an internet program that allows users to forecast prospective sales for a given location.,Warsaw,"Hubert Guzera, Tomasz Władziński","PLN2,000,000",2,"Big Data, Business Development, Business Intelligence, Information Technology, Internet, Location Based Services, Machine Learning, SaaS",1-10,"3 (LC Ventures, b.value AG, REDangels)",2017
Poland,33) Dronehub,"Inspection and delivery using automated industrial drones, all-terrain hubs, and AI-powered software.",Warsaw,"Vadym Melnyk, Vadym Melnyk","PLN2,200,000",1,"Aerospace, Artificial Intelligence, Autonomous Vehicles, Drones, Hardware, Industrial Automation, Machine Learning, Robotics, Software",11-50,,2015
Poland,34) kontakt,Kontakt.io is on a mission to make global location data insights more accessible.,Krakow,,"$8,265,000",,,11-50,,
Poland,35) Shoper,Shoper creates e-commerce software that allows you to run your own online business.,Krakow,,,,,11-50,,
Poland,36) AgileVision,AgileVision is a professional service provider specializing in helping businesses reap the benefits of digital transformation.,Krakow,,,,,11-50,,
Poland,37) SoftwareMind,Development of software and applications to assist and extend IT teams while delivering business results.,Krakow,,,,,501-1000,,
Poland,38) CallPage,CallPage is a cloud-based ICT service that turns website traffic into sales calls.,Krakow,,"$6,708,549",,,51-100,,
Poland,39) PerfOps,"Smart traffic load-balancing and routing, as well as distributed infrastructure monitoring",Krakow,,"$1,250,000",,,1-10,,
Poland,40) Elmodis,Elmodis provides a complete IoT solution for monitoring and improving the efficiency of industrial machinery.,Krakow,,"$5,150,000",,,11-50,,
Poland,41) NovaKid,NovaKid is a powerful learning tool that encourages your youngster to communicate in English.,Krakow,,"$2,277,796",,,51-100,,
Poland,42) Codewise,Codewise is the first AI-powered online ad measurement and management solution for digital marketers in the industry.,Krakow,,"$1,000,000",,,101-250,,
Poland,43) SEEDiA,SEEDiA contributes to the sustainability of cities by lowering CO2 emissions and keeping citizens connected and charged.,Krakow,,"$265,000",,,11-50,,
Poland,44) Mobiltek,"Mobiltek is the business behind Dotpay, a company that specializes in online and mobile payments.",Krakow,,"$28,779,396",,,11-50,,
Poland,45) Cardiomatics,"CardiomaticsTM is an ECG analysis cloud AI tool. Simply provide us with a raw ECG signal, and our algorithms will transform it into useful information.",,,,,,,,
Bulgaria,1) Software Group,Software Group is a multinational technology business that specializes in digital banking and financial integration solutions.,Sofia,"Geraldine O'Keeffe, Kalin Radev","€ 26,000,000",4,"Banking, Financial Services, FinTech, Software",251-500,"5 (European Investment Bank, BrightCap Ventures, Black Peak Capital, PostScriptum Ventures, International Aviation Services)",2009
Bulgaria,2) Transmetrics,Transmetrics uses predictive analytics and artificial intelligence to optimize logistics planning and asset management.,Sofia,"Alexander Petkov, Anna Shaposhnikova, Asparuh Koev, Rado Nikolov","€ 4,820,000",9,"Analytics, Artificial Intelligence, B2B, Business Intelligence, Logistics, Machine Learning, Predictive Analytics, SaaS, Shipping, Transportation",11-50,"2 (European Commission, LAUNCHub Ventures)",2013
Bulgaria,3) Biodit Global Technology,Biodit Global Technology is a technology firm specializing in the creation of cutting-edge biometric security solutions.,Sofia,,"$1,992,860",,,11-50,,
Bulgaria,4) Coherent-Labs,"Coherent UI, a Coherant Labs product, makes it easier for game developers without any programming experience to create user interfaces.",Sofia,,"$613,700",,,11-50,,
Bulgaria,5) Puzl,Central and Eastern Europe's top IT coworking space.,Sofia,,"$1,660,000",,,11-50,,
Bulgaria,6) BGMENU,"BGMENU is an online food ordering and delivery network with over 250 restaurants in Bulgaria, and the number is growing every day.",Sofia,,"$274,798",,,11-50,,
Bulgaria,7) phyre,"phyre is a wallet replacement that allows you to shop at any contactless POS or online, use your loyalty cards, send and receive money, and buy foreign currency all from your phone.",Sofia,,"$13,848,733",,,51-100,,
Bulgaria,8) BioSeek,"BioSeek collects life-science data from a variety of sources, including NCBI, UniProt, and KEGG, and makes it conveniently accessible in one place.",Sofia,,"$740,742",,,1-10,,
Bulgaria,9) MyEducationClub,A social media platform powered by artificial intelligence where users may share their skills and expertise.,Sofia,,"$55,248",,,1-10,,
Bulgaria,10) I Rise Mechanics,High-tech firm that designs and manufactures robotic mobility devices for people with limitations of the lower limbs.,Sofia,,"$360,050",,,1-10,,
Bulgaria,11) Opencode,Opencode Technology is a telecommunications solution provider specializing on open mobile network systems.,Sofia,,,,,51-100,,
Bulgaria,12) Vayant Travel Technologies,Vayant offers airfare search services to the international travel industry.,Sofia,,"$3,000,000",,,101-250,,
Bulgaria,13) Cash Credit,A technological finance organization that collaborates with mobile network operators around the world to provide unbanked people with competitive financial services.,Sofia,,"$25,000,000",,,101-250,,
Bulgaria,14) Metrilo,eCommerce stores benefit from customer analytics and intelligent marketing.,Sofia,,"$1,097,061",,,11-50,,
Bulgaria,15) Enhancv,Enhancv is a website that allows you to create your own resume.,Sofia,,"$241,232",,,11-50,,
Bulgaria,16) EnduroSat,EnduroSat is a spacecraft design and engineering company that specializes on commercial and space exploration missions.,Sofia,,"$1,271,140",,,11-50,,
Bulgaria,17) DRONAMICS,DRONAMICS is a company that creates unmanned aircraft systems for commercial and special cargo transport.,Sofia,,"$223,832",,,11-50,,
Bulgaria,18) MammothDB,"MammothDB is a distributed, parallel, shared-nothing, SQL-compatible database for large data analytics and enterprise data warehousing.",Sofia,,"$1,800,000",,,11-50,,
Bulgaria,19) A4Everyone,A4Everyone provides low-cost analytical solutions that boost the efficiency of small and medium-sized organizations.,Sofia,,"$1,083,992",,,1-10,,
Bulgaria,20) LegalTrek,LegalTrek is a small-to-medium law firm practice management system.,Sofia,,"$503,975",,,1-10,,
Bulgaria,21) Appzio,Appzio is a platform that facilitates developing native Android and iOS apps much faster and cheaper.,Sofia,,"$694,360",,,1-10,,
Bulgaria,22) eBag,eBag.bg is a supermarket that operates online.,Sofia,,"$744,737",,,,,
Luxembourg,1) kodehyve,"AML/KYC, SaaS, PropTech, Collaboration Tool",Luxembourg,"Felix Hemmerling, Julien Casse","€ 1,050,000",2,"Commercial Real Estate, Information Technology, IT Infrastructure, Property Development, Real Estate, SaaS, Software, Software Engineering",1-10,"9 (Laurent Schonckert, Eric van de Kerkhove, Robert Godart, Benoit Schaus, Frank Veyder)",2020
Luxembourg,2) Talkwalker,"Talkwalker is a listening and analytics startup that has helped over 1,000 brands improve the effectiveness of their communications.",Luxembourg,"Christophe Folschette, Thibaut Britz","$9,297,390",3,"Analytics, Reputation, Search Engine, Social Media Marketing, Text Analytics",101-250,"2 (Marlin Equity Partners, Main Mezzanine Capital)",2009
Luxembourg,3) European Investment Bank,"The European Investment Bank is a financial institution that offers lending, borrowing, and treasury services.",Luxembourg,,,,"Banking, Credit, Finance, Financial Services",1001-5000,,1958
Luxembourg,4) OCSiAl Group,"The first business to develop a low-cost, infinitely scaleable process for mass manufacture of graphene nanotubes.",Luxembourg,"Mikhail Predtechenskiy, Oleg Kirillov, Yuriy Zelvenskiy, Yury Koropachinskiy","$176,000,000",13,"Industrial, Manufacturing, Nanotechnology",251-500,"4 (RUSNANO, ExpoCapital, A&NN Investments, Igor Kim)",2009
Luxembourg,5) eureKARE,eureKARE is a venture capital firm that invests in and helps create biotech firms in the cutting-edge fields of microbiome and synthetic biology.,Luxembourg,Alexandre Mouradian,"$60,000,000",1,"Biotechnology, Finance, Financial Services",1-10,,2020
Luxembourg,6) Job Today,JobToday is a hiring software that uses a mobile messaging interface to connect job searchers and companies based on location and other work criteria.,Luxembourg,"Eugene Mizin, Polina Montano","$81,000,000",4,"Apps, Employment, Mobile",11-50,"11 (Accel, Felix Capital, 14W, Flint Capital, Channel 4)",2015
Luxembourg,7) Flash,Flash is a leading European logistics company at your disposal.,Luxembourg,,"€ 32,000,000",2,"Freight Service, Logistics, Public Transportation, Transportation",,"3 (Eurazeo, Siparex Groupe, LBO France)",1981
Luxembourg,8) Yotako,Yotako speeds up web and mobile app development by allowing for a seamless transition from design to code.,Esch-sur-alzette,"Alfonso Garcia Frey, Damien Neuberg","€ 1,250,000",3,"Apps, Industrial, Information Services, Information Technology, Mobile Apps, Open Source",1-10,1 (Angelsquare),2016
Luxembourg,9) Tokeny Solutions,"The compliant end-to-end platform for issuing, managing, and transferring securities on the blockchain.",Luxembourg,Luc Falempin,"€ 5,000,000",1,"Asset Management, Blockchain, Financial Services, FinTech, Funding Platform",11-50,1 (Euronext),2017
Luxembourg,10) Global Fashion Group,Global Fashion Group creates a shopping platform that allows people in 27 countries to buy for clothes online.,Luxembourg,,"$574,170,522",,,5001-10000,,
Luxembourg,11) DOCTENA,DOCTENA is a next-generation medical scheduling technology focused to making it easier for patients to access doctors' schedules.,Luxembourg,,"$14,289,284",,,51-100,,
Luxembourg,12) Simpleshow,Simpleshow is a company that creates explanation videos.,Luxembourg,,"$35,400,000",,,101-250,,
Luxembourg,13) Global Fintech Solutions,"With offices in Luxembourg, Tel Aviv, and Moscow, Fintech Focused Global Investment and Technology Transfer Platform",Luxembourg,,"$20,000,000",,,51-100,,
Luxembourg,14) Eurosender,Eurosender is a digital platform that enables businesses to develop their own digital logistics department and boost productivity.,Luxembourg,,"$746,279",,,11-50,,
Luxembourg,15) STOKR,Bringing everyday investors together with creative business ideas so that everyone can prosper.,Luxembourg,,"$3,463,114",,,1-10,,
Luxembourg,16) ArcelorMittal,ArcelorMittal is a multinational steel and mining corporation.,Luxembourg,,,,,10001+,,
Luxembourg,17) Koosmik,"Mobile banking, electronic payments, and IT consultancy are all services offered by Koosmik, a Luxembourg-based corporation.",Luxembourg,,"$3,142,174",,,1-10,,
Luxembourg,18) algoreg,A regulatory technology (regtech) business situated in Luxembourg.,Luxembourg,,"$1,000,000",,,11-50,,
Luxembourg,19) Governance.com,Governance.com provides smart technology and support services to make regulated company control easier.,Luxembourg,,"$5,884,188",,,11-50,,
Luxembourg,20) OQ TECHNOLOGY,OQ Technology provides global network coverage for the next 50 billion IoT devices and equipment that are currently unconnected.,Luxembourg,,"$7,244,943",,,1-10,,
Luxembourg,21) Travelsify,"Travelsify's Travel Product DNA technology, which supports next-generation tailored search, is now available.",Luxembourg,,"$7,969,130",,,11-50,,
Luxembourg,22) Keymitt,Do you want to experiment with a smart lock in your home but don't want to replace your current lock? Give Keymitt a shot.,Luxembourg,,"$636,962",,,1-10,,
Luxembourg,23) UFT,"For transit operators and authorities, UFT develops and commercializes on-demand ridesharing technology.",Luxembourg,,"$2,078,584",,,11-50,,
Luxembourg,24) MoodMe,MoodMe uses Facial Insights and Face AR filters to let businesses customise their customers' experiences while maintaining their privacy.,Luxembourg,,"$759,895",,,11-50,,
Luxembourg,25) nfinitiv,nfinitiv is a consulting firm that works with start-ups and scale-ups to help them grow and scale faster.,Luxembourg,,"$24,891,103",,,11-50,,
Italy,1) Commerce Layer,"Commerce Layer is a REST API that allows you to integrate e-commerce to any website or mobile application quickly, easily, and securely.",Prato,"Filippo Conforti, Massimo Scardellato","$22,000,000",2,"E-Commerce, Mobile Apps, Web Hosting",1-10,"6 (SV Angel, Benchmark, Coatue, Mango Capital, NVInvestments)",2017
Italy,2) Uala,Online booking for beauty salons in real time,Milan,"Alessandro Bruzzi, Enzo Li Volti, Luca Mattivi, Luca Tironi","€ 20,000,000",3,"Beauty, Health Care, Information Technology, Wellness",11-50,"2 (Club Italia Investimenti, Immobiliare.it)",2013
Italy,3) iGenius,iGenius - Business Intelligence with a Twist,Milan,Uljan Sharka,"€ 20,000,000",5,"Artificial Intelligence, B2B, Business Intelligence, Insurance, Pharmaceutical, Retail",101-250,,2016
Italy,4) Dedalus Group,Dedalus Group is a healthcare IT systems company based in Italy.,Firenze,Giorgio Moretti,"€ 50,000,000",3,"Health Care, Information Technology, Software",501-1000,"3 (Abu Dhabi Investment Authority, Three Hills Capital Partners, Hutton Collins Partners)",1990
Italy,5) Everli,Everli is an online grocery shopping marketplace where clients may buy for food from a range of stores.,Milan,Enrico Pandian,"€ 113,555,000",9,"Delivery, Delivery Service, E-Commerce, Grocery, Same Day Delivery",51-100,"22 (Endeavor Catalyst, DN Capital, C4 Ventures, 360 Capital, Club degli Investitori)",2014
Italy,6) Satispay,Satispay is a fintech business that offers a mobile payment platform that accepts bank accounts.,Milan,"Alberto Dalmasso, Dario Brignone, Samuele Pinta","$160,856,510",8,"Apps, Banking, Finance, Financial Services, FinTech, Mobile Payments, Payments",101-250,"20 (Square, Tencent, Endeavor Catalyst, Greyhound Capital, Lightrock)",2013
Italy,7) Scalapay,Scalapay is a payment system that allows consumers to buy something and pay for it in three equal installments without incurring interest.,Milan,"Johnny Mitrevski, Simone Mancini","€ 40,000,000",1,"E-Commerce, Information Technology, Internet, Mobile Payments, Retail",1-10,"3 (Ithaca Investments, Fasanara Capital, Baleen Capital)",2019
Italy,8) Casavo,Casavo is a tech-enabled market maker that simplifies and de-stresses the real estate market.,Milan,"Giorgio Tinacci, Simon Specka","€ 258,900,000",6,"Finance, Property Development, Property Management, Real Estate",101-250,"12 (Goldman Sachs, Greenoaks Capital, Project A Ventures, Exor Seeds, Picus Capital)",2017
Italy,9) D-Orbit,"D-Orbit is the first company to provide solutions for moving, precisely deploying, and deleting satellites in space.",Milan,"Giuseppe Tussiwand, Luca Rossettini, Renato Panesi, Thomas Panozzo","€ 21,280,000",9,"Aerospace, Automotive, Fleet Management, Information Technology, Software, Transportation",11-50,"13 (MassChallenge, Seraphim Capital, EASME - EU Executive Agency for SMEs, Club degli Investitori, Green Arrow Capital)",2011
Italy,10) MotorK,"MotorK is a software firm that provides automotive car manufacturers, dealers, and end users with in-cloud solutions.",Milano,"Fabio Gurgone, Marco De Michele, Marco Marlia, Tommaso Parisi","$55,678,100",4,"Automotive, Information Services, Internet, Software",251-500,"4 (European Investment Bank, 83North, Zobito, Real Web)",2010
Italy,11) Cubbit,The first distributed cloud provider in the world. Cubbit repurposes the Internet we throw away into the most cost-effective and secure web services available.,Bologna,"Alessandro Cillario, Lorenzo Posani, Marco Moschettini, Stefano Onofri","$3,763,378",5,Cloud Infrastructure,11-50,"8 (Techstars, Barclays, European Commission, Primo Ventures, EASME - EU Executive Agency for SMEs)",2016
Italy,12) CoreView,"CoreView is a SaaS management platform (SMP) that aids in the protection, management, and optimization of Microsoft 365 and other SaaS services.",Milan,"David Mascarella, Ivan Fioravanti","$30,000,000",2,"IT Management, SaaS, Security, Software",51-100,1 (Insight Partners),2014
Italy,13) Cortilia,Cortilia is a supermarket delivery service that specializes in local farmers' produce.,Milan,Marco Porcaro,"€ 51,000,000",7,"Delivery, E-Commerce, Grocery, Local",11-50,"8 (Primo Ventures, Five Seasons Ventures, Club Italia Investimenti, P101, Red Circle Investment)",2011
Italy,14) Brumbrum,Brumbrum is an online vehicle dealer that provides a convenient and cost-effective buying experience.,Milano,Francesco Banfi,"€ 30,000,000",4,"Automotive, E-Commerce, Internet",11-50,"6 (Accel, Headline, DIP Capital, Ithaca Investments, United Ventures)",2016
Italy,15) Alitalia,Alitalia is Italy's national airline and flag carrier.,Rome,,"$412,000,000",1,"Aerospace, Air Transportation, Travel",10001+,1 (Etihad Airways),1946
Italy,16) CHILI,CHILI is a multi-platform entertainment marketplace for movie and television enthusiasts.,Milano,"Giorgio Tacchia, Stefano Flamia, Stefano Parisi","€ 26,400,000",8,"Digital Entertainment, Film, Information Technology, Internet, Marketing, Media and Entertainment, Video on Demand, Video Streaming",101-250,"5 (Warner Bros., Viacom, Sony Pictures Entertainment, Paramount Pictures, Antares Private Equity)",2012
Italy,17) IQONIQ,"IQONIQ is a new fan engagement platform focused solely on the ""Sports and Entertainment sector.""",Montecarlo,,"€ 100,000,000",1,Sports,11-50,1 (Lux Media Investments),2019
Italy,18) Prima.it,Prima is a car insurance business that offers direct coverage.,Milan,"Alberto Genovese, George Ottathycal, Teodoro D'Ambrosio","€ 100,000,000",3,"Auto Insurance, Automotive, Insurance",251-500,"7 (TA Ventures, GS Growth, Blackstone Tactical Opportunities, Ithaca Investments, Teodoro D'Ambrosio)",2013
Italy,19) Tannico,Tannico is an Italian e-commerce portal that sells wines and luxury beverages.,Milano,"Marco Magnocavallo, Riccardo Zilli","€ 27,200,000",2,"E-Commerce, Wine And Spirits",11-50,"5 (P101, Gruppo Campari, Matteo de Brabant, Stefano Saccardi, Maurizio di Robilant)",2012
Italy,20) Latitudo40,Latitudo40 is a Techstars-backed startup. Using satellite imagery and artificial intelligence to develop new smart city and agritech solutions,Napoli,"Donato Amitrano, Gaetano Volpe, Mauro Manente, Vincenzo Vecchio","$972,381",4,"AgTech, Artificial Intelligence, Geospatial, Machine Learning, Smart Cities, Software",1-10,"6 (Techstars, CRiF, Invitalia, Techstars Smart Mobility, Fondazione Golinelli)",2017
Italy,21) Musement,Musement is a travel companion that lets you book tickets for activities and attractions in over 1000 destinations all over the world.,Milan,"Alessandro Petazzi, Claudio Bellinzona, Fabio Zecchini, Paolo Giulini","$16,465,762",4,"Art, E-Commerce, Ediscovery, Ticketing, Tourism, Travel",251-500,"4 (360 Capital, P101, Italian Angels for Growth, Micheli Associati)",2012
Italy,22) Contents.com,SaaS platform that uses artificial intelligence to evaluate trends and generate content automatically.,Milan,Massimiliano Squillace,"$14,056,352",6,"Artificial Intelligence, Information Technology, SaaS, Software",11-50,"6 (GELLIFY, Azimut Holding, Synergo Capital, Fabio Cannavale, Jacopo Paoletti)",2017
Italy,23) Milkman Technologies,Milkman is a last-mile delivery platform that provides technology and expertise to help customers create the best possible delivery experiences.,Verona,"Antonio Perini, Tommaso Baù","€ 32,450,000",3,Software,51-100,"6 (360 Capital, P101, Vertis SGR S.p.A., Poste Italiane S.p.A., Italia500)",2015
Italy,24) De Nora S.p.A.,"De Nora S.p.A. is a multinational corporation that creates, manufactures, and distributes electrodes, coatings, and electrochemical solutions.",Milan,,"€ 396,000,000",2,"Electronics, Energy, Industrial Engineering, Manufacturing",1001-5000,"2 (Blackstone Group, Snam)",1923
Italy,25) Ventis,"Ventis is a fintech firm that creates an online marketplace for Italian quality, complete with its own payment infrastructure.",Milan,"Cristiano Brambilla, Luca Bertozzi, Manolo Bianchini, Stiven Muccioli","€ 19,000,000",9,"Financial Services, FinTech, Marketplace, Mobile Payments, Payments",101-250,"5 (Iccrea Banca, Stiven Muccioli, Luca Bertozzi, Manolo Bianchini, Cristiano Brambilla)",2016
Italy,26) Musixmatch,"Musixmatch is a music AI startup that creates algorithms and tools for music discovery, recommendation, and search based on lyrics.",Bologna,"Francesco Delfino, Gianluca delli Carri, Giuseppe Costantino, Massimo Ciociola, Valerio Paolini","$19,335,379",6,"Apps, Artificial Intelligence, Machine Learning, Media and Entertainment, Music, Music Streaming, Natural Language Processing",101-250,"7 (Piton Capital, P101, United Ventures, Micheli Associati, Roberto Condulmari)",2010
Italy,27) Credimi,Credimi is working on a new digital loan solution aimed at SMEs and institutional investors.,Milan,"Edmondo Porcu, Francesca Todeschini, Gianmarco Molinari, Ignazio Rocco di Torrepadula, Jacopo Anselmi, Roberto Arnetoli, Sabino Costanza","€ 18,000,000",3,"Credit, Finance, Financial Services, FinTech, Lending, Software",1-10,"11 (United Ventures, Vertis SGR S.p.A., iStarter, Jean-Pierre Mustier, Mauro Benetton)",2015
Italy,28) Freeda Media,Freeda's purpose is to inspire good change by sharing genuine women's stories.,Milan,"Andrea Scotti Calderini, Gianluigi Casole","$30,300,000",4,"Content, Digital Media, Lifestyle, Media and Entertainment, Social Media Advertising",101-250,"9 (Endeavor Catalyst, Alven, Rancilio Cube, UniCredit Group, U-Start)",2016
Italy,29) Dovevivo,DoveVivo is the country's first and largest co-living enterprise.,Milan,Valerio Fonseca,"€ 80,000,000",2,"Asset Management, Property Management",51-100,"2 (Tikehau Capital, Tamburi Investment Partners)",2007
Italy,30) Buzzoole,Influencer marketing software that automates the integration of important influencers into brands' digital communications.,Naples,"Fabrizio Perrone, Gennaro Varriale, Luca Camillo, Luca Pignataro","€ 15,630,000",7,"Advertising, Digital Marketing, Social Media, Social Media Advertising",11-50,"17 (Expert.ai, Digital Magics, Impulse VC, CDP Venture Capital, Vertis SGR S.p.A.)",2013
Italy,31) Versace,"Gianni Versace started Versace, an Italian fashion house and trade name, in Milan in 1978.",Milan,Gianni Versace,"€ 210,000,000",1,"Fashion, Jewelry, Retail",5001-10000,1 (Blackstone Group),1978
Italy,32) Velasca,Velasca is a direct-to-consumer brand that specializes on affordable Made in Italy footwear.,Milan,"Enrico Casati, Jacopo Sebastio","€ 8,245,000",7,"E-Commerce, Fashion, Retail, Shoes",11-50,"10 (Club Italia Investimenti, P101, Milano Investment Partners, iStarter, Giovanni Gardelli)",2013
Italy,33) FAO,The United Nations' Food and Agriculture Organization (FAO) is a specialized body that leads international efforts to end hunger.,Rome,,"$10,000,000",1,"Agriculture, Food Processing, Security",1001-5000,,1945
Italy,34) Treedom,"Treedom is the only website that allows individuals and businesses to plant trees and track their progress online, thereby supporting local farmers all over the world.",Florence,"Federico Garcea, Lorenzo Martelletti, Tommaso Speroni","$6,652,182",5,"Communications Infrastructure, E-Commerce Platforms, Environmental Consulting, Gamification, Marketing Automation, Natural Resources, Social Entrepreneurship, Social Impact",51-100,"6 (Bill & Melinda Gates Foundation, Rancilio Cube, Boost Heroes, Rockefeller Foundation, U-Start)",2010
Italy,35) BOOM imagestudio,BOOM is a photo-tech firm that offers clients in over 80 countries on-demand photographic solutions at scale.,Milano,"Federico Mattia Dolci, Giacomo Grattirola, Jacopo Benedetti","$11,000,000",3,"Computer Vision, Photography, Real Estate",51-100,"2 (United Ventures, Wellness Holding)",2018
Italy,36) BizAway,"BizAway is the most comprehensive tool for planning, managing, and controlling business travel.",Spilimbergo,"Flavio Del Bianco, Luca Carlucci","€ 6,500,000",4,"Business Travel, Software, Travel, Travel Agency",51-100,"3 (Alma Mundi Ventures, Federico González Tejera, Casper Urhammer)",2015
Italy,37) Buddyfit,"Everywhere you go, work out with your personal trainer.",Genova,,"$8,605,000",3,Health Care,11-50,,2019
Italy,38) Endostart,Endostart has created a patent-pending Magnetic Balloon Anchoring Technology.,Certaldo,,"€ 9,200,000",2,Medical Device,1-10,"4 (Panakes Partners, A11 Venture, HTH, Estor)",2018
Italy,39) ProntoPro,"ProntoPro is an online marketplace that matches people in need with artists, professionals, and small companies.",Milano,"Marco Ogliengo, Silvia Wang","€ 10,000,000",4,"E-Commerce, Information Technology, Internet, Marketplace, Professional Services",101-250,1 (Immobiliare.it),2015
Italy,40) Kippy,Kippy is the first IoT device that tracks and monitors your four-legged friend's physical activities in real time.,Milano,Simone Sangiorgi,"$4,616,325",5,"Consumer Electronics, Internet of Things, Pet, Wearables",11-50,"5 (Fabio Mondini de Focatiis, iStarter, Lumen Ventures, Moffu Labs, Stefano Miccinelli)",2013
Italy,41) Filo,Filo develops products and solutions that enable individuals to stay connected to the things they care about most.,Roma,"Andrea Gattini, Francesco Ceccherelli, Giorgio Sadolfo, Stefania De Roberto","€ 3,060,000",3,"Baby, Child Care, Consumer Electronics, Electronics, Internet of Things",11-50,"4 (Pi Campus, LVenture Group, LUISS ENLABS, Al.Pe Invest)",2014
Italy,42) Criptalia,Platform for Regulated Business Crowdfunding,Bergamo,"Diego Dal Cero, Matteo Vallin","€ 1,272,000",5,"Blockchain, Cryptocurrency, Finance, Financial Services, FinTech",1-10,"4 (Digital Magics, CRiF, Fondazione Golinelli, CDP Venture Capital)",2018
Italy,43) xFarm,Farm is a software-as-a-service platform for digitalizing farms and simplifying data collecting and analysis.,Milan,"Martino Poretti, Matteo Vanotti, Salvatore Ferullo","€ 3,000,000",1,"Agriculture, AgTech, Analytics, Big Data, Farming, Food Processing, Internet of Things, SaaS, Software",11-50,"2 (United Ventures, TiVenture)",2017
