rank,country,name,description,state,city,started_in,founders,industries,employees,funding_raw,funding_rounds,investors_count,investors_list,source_url,employees_min,employees_max,funding_usd,industries_list,founders_list,text,clean_text,cluster
29,Finland,Dispelix,Dispelix merely exposes the problems that product designers have been attempting to conceal for years.,Southern Finland,Espoo,2011.0,Antti Sunnari,"Eyewear, Fashion, Manufacturing, Medical Device, Product Design",11-50,,3.0,5.0,"[""Flashpoint"", ""Lifeline Ventures"", ""Tesi"", ""3M New Ventures"", ""VTT Ventures""]",https://www.failory.com/startups/finland,11.0,50.0,,"[""Eyewear"", ""Fashion"", ""Manufacturing"", ""Medical Device"", ""Product Design""]","[""Antti Sunnari""]",Dispelix merely exposes the problems that product designers have been attempting to conceal for years.,dispelix merely exposes problems product designers attempting conceal years,-1
30,Finland,Surrogate.tv,Surrogate.tv is a third-party platform for creating physical encounters in real life.,Southern Finland,Espoo,2018.0,"Esko Vähämäki, Severi Tikkala, Shane Henrik Allen, Stanislav Dmitriev","Digital Entertainment, Gaming, Robotics, Video Games, Virtual Reality",11-50,"$4,509,000",4.0,6.0,"[""Business Finland"", ""PROfounders Capital"", ""Brighteye Ventures"", ""Supernode Global"", ""Initial Capital""]",https://www.failory.com/startups/finland,11.0,50.0,4509000.0,"[""Digital Entertainment"", ""Gaming"", ""Robotics"", ""Video Games"", ""Virtual Reality""]","[""Esko V\u00c3\u00a4h\u00c3\u00a4m\u00c3\u00a4ki"", ""Severi Tikkala"", ""Shane Henrik Allen"", ""Stanislav Dmitriev""]",Surrogate.tv is a third-party platform for creating physical encounters in real life.,surrogate tv third party platform creating physical encounters real life,5
31,Finland,Quicksave Interactive,Quicksave Interactive is a chat game platform that creates entertaining gaming-based chatting apps.,Southern Finland,Helsinki,2017.0,"Elina Arponen, Timo Kämäräinen, Ville-Kalle Arponen","Gaming, Information Technology, Internet, Messaging, Mobile, Mobile Apps",1-10,"$1,673,727",4.0,5.0,"[""Raptor Group"", ""Konvoy Ventures"", ""Sisu Game Ventures"", ""Wave Ventures"", ""LEGO Innovation Investment Fund""]",https://www.failory.com/startups/finland,1.0,10.0,1673727.0,"[""Gaming"", ""Information Technology"", ""Internet"", ""Messaging"", ""Mobile"", ""Mobile Apps""]","[""Elina Arponen"", ""Timo K\u00c3\u00a4m\u00c3\u00a4r\u00c3\u00a4inen"", ""Ville-Kalle Arponen""]",Quicksave Interactive is a chat game platform that creates entertaining gaming-based chatting apps.,quicksave interactive chat game platform creates entertaining gaming based chatting apps,5
32,Finland,Enevo,"Enevo is a forward-thinking organization with a mission to reduce waste's financial, environmental, and social costs.",Southern Finland,Espoo,2010.0,"Fredrik Kekalainen, Johan Engström","Fleet Management, Hardware, Internet of Things, Logistics, Recycling, Software, Waste Management",51-100,"$55,363,230",6.0,15.0,"[""Earlybird Venture Capital"", ""Foxconn Technology Group"", ""European Investment Bank"", ""Draper Associates"", ""Lifeline Ventures""]",https://www.failory.com/startups/finland,51.0,100.0,55363230.0,"[""Fleet Management"", ""Hardware"", ""Internet of Things"", ""Logistics"", ""Recycling"", ""Software"", ""Waste Management""]","[""Fredrik Kekalainen"", ""Johan Engstr\u00c3\u00b6m""]","Enevo is a forward-thinking organization with a mission to reduce waste's financial, environmental, and social costs.",enevo forward thinking organization mission reduce waste financial environmental social costs,-1
33,Finland,Medixine,Medixine is the next generation of linked care since it involves patients in their own treatment.,Southern Finland,Espoo,2000.0,Tapio Jokinen,"Health Care, Medical, Software, Wellness",11-50,,4.0,2.0,"[""EIT Digital Accelerator"", ""Visionplus""]",https://www.failory.com/startups/finland,11.0,50.0,,"[""Health Care"", ""Medical"", ""Software"", ""Wellness""]","[""Tapio Jokinen""]",Medixine is the next generation of linked care since it involves patients in their own treatment.,medixine next generation linked care since involves patients treatment,2
34,Finland,Happeo,"Your communications will flow smoothly thanks to an intranet, enterprise social network, and collaboration platform.",Southern Finland,Helsinki,2017.0,"Antero Hanhirova, Perttu Ojansuu, Vesa Sironen","Cloud Computing, Google, Human Resources, Online Portals, SaaS",11-50,"$20,000,000",2.0,4.0,"[""DN Capital"", ""INKEF Capital"", ""Vendep Capital"", ""Maki.vc""]",https://www.failory.com/startups/finland,11.0,50.0,20000000.0,"[""Cloud Computing"", ""Google"", ""Human Resources"", ""Online Portals"", ""SaaS""]","[""Antero Hanhirova"", ""Perttu Ojansuu"", ""Vesa Sironen""]","Your communications will flow smoothly thanks to an intranet, enterprise social network, and collaboration platform.",communications flow smoothly thanks intranet enterprise social network collaboration platform,-1
35,Finland,Flowhaven,Flowhaven is a brand licensing management tool that allows professionals to automate every step of the licensing process.,Southern Finland,Helsinki,2016.0,"Jess Trinca, Kalle Torma, M L, Timo Olkkola","SaaS, Software",11-50,"$21,200,000",3.0,3.0,"[""Global Founders Capital"", ""Icebreaker.vc"", ""Sapphire Sport""]",https://www.failory.com/startups/finland,11.0,50.0,21200000.0,"[""SaaS"", ""Software""]","[""Jess Trinca"", ""Kalle Torma"", ""M L"", ""Timo Olkkola""]",Flowhaven is a brand licensing management tool that allows professionals to automate every step of the licensing process.,flowhaven brand licensing management tool allows professionals automate every step licensing process,4
37,Finland,Wirepas,There is no such thing as nonsense. It's just business IoT the way it should be. Thousands of gadgets are being linked together. Failure-free. There is no infrastructure. There are no middlemen.,Western Finland,Tampere,2010.0,"Mikko Kohvakka, Teppo Hemiä, Ville Juven, Ville Kaseva","Internet of Things, Software, Wireless",11-50,,4.0,6.0,"[""Inventure"", ""Tesi"", ""ETF Partners"", ""Vito Ventures"", ""KPN Ventures""]",https://www.failory.com/startups/finland,11.0,50.0,,"[""Internet of Things"", ""Software"", ""Wireless""]","[""Mikko Kohvakka"", ""Teppo Hemi\u00c3\u00a4"", ""Ville Juven"", ""Ville Kaseva""]",There is no such thing as nonsense. It's just business IoT the way it should be. Thousands of gadgets are being linked together. Failure-free. There is no infrastructure. There are no middlemen.,thing nonsense business iot way thousands gadgets linked together failure free infrastructure middlemen,-1
38,Finland,Carbo Culture,Carbo Culture is a carbon-removal startup based in the Nordics and the United States.,Southern Finland,Helsinki,2016.0,"Christopher Carstens, Pia Henrietta Kekäläinen, Sam Van Wesenbeeck","Environmental Engineering, Sustainability",1-10,"$7,083,979",4.0,15.0,"[""True Ventures"", ""Lifeline Ventures"", ""Cherry Ventures"", ""Bragiel Brothers"", ""David Helgason""]",https://www.failory.com/startups/finland,1.0,10.0,7083979.0,"[""Environmental Engineering"", ""Sustainability""]","[""Christopher Carstens"", ""Pia Henrietta Kek\u00c3\u00a4l\u00c3\u00a4inen"", ""Sam Van Wesenbeeck""]",Carbo Culture is a carbon-removal startup based in the Nordics and the United States.,carbo culture carbon removal startup based nordics united states,-1
39,Finland,Klevu,Klevu Oy is a self-learning search engine that assists internet merchants in converting visitors into paying clients.,Southern Finland,Helsinki,2013.0,"Jyrki Kontio, Nilay Oza, Niraj Aswani","E-Commerce, Internet",11-50,"$17,855,493",3.0,7.0,"[""Inventure"", ""Alfv\u00c3\u00a9n & Didrikson"", ""Evli Growth Partners"", ""KoppiCatch"", ""Jonas Dromberg""]",https://www.failory.com/startups/finland,11.0,50.0,17855493.0,"[""E-Commerce"", ""Internet""]","[""Jyrki Kontio"", ""Nilay Oza"", ""Niraj Aswani""]",Klevu Oy is a self-learning search engine that assists internet merchants in converting visitors into paying clients.,klevu oy self learning search engine assists internet merchants converting visitors paying clients,-1
40,Finland,Zyfra,Zyfra is a global firm that creates products based on the Industrial Internet of Things (IIoT) and Artificial Intelligence.,Southern Finland,Helsinki,2017.0,,"Artificial Intelligence, Computer Vision, Information Technology, Internet of Things, Machine Learning",11-50,,1.0,1.0,"[""VEB Ventures""]",https://www.failory.com/startups/finland,11.0,50.0,,"[""Artificial Intelligence"", ""Computer Vision"", ""Information Technology"", ""Internet of Things"", ""Machine Learning""]","[""""]",Zyfra is a global firm that creates products based on the Industrial Internet of Things (IIoT) and Artificial Intelligence.,zyfra global firm creates products based industrial internet things iiot artificial intelligence,-1
41,Finland,iFarm,Universal data-driven plant-growing technology for automated vertical farms,Southern Finland,Helsinki,2017.0,"Alex Lyskovsky, Konstantin Ulianov, Max Chizhov","Agriculture, AgTech, Farming, Horticulture",11-50,"$4,000,000",1.0,5.0,"[""Impulse VC"", ""Gagarin Capital Partners"", ""Matrix Capital"", ""IMI.VC"", ""Boris Kim""]",https://www.failory.com/startups/finland,11.0,50.0,4000000.0,"[""Agriculture"", ""AgTech"", ""Farming"", ""Horticulture""]","[""Alex Lyskovsky"", ""Konstantin Ulianov"", ""Max Chizhov""]",Universal data-driven plant-growing technology for automated vertical farms,universal data driven plant growing technology automated vertical farms,10
42,Finland,Eficode,"With operations in Northern and Western Europe, Eficode is a DevOps, software, automation, and design company.",Southern Finland,Helsinki,2005.0,Risto Virkkala,"Developer Tools, Information Technology, Linux, Open Source, Software, Web Development",251-500,,1.0,1.0,"[""Bocap""]",https://www.failory.com/startups/finland,251.0,500.0,,"[""Developer Tools"", ""Information Technology"", ""Linux"", ""Open Source"", ""Software"", ""Web Development""]","[""Risto Virkkala""]","With operations in Northern and Western Europe, Eficode is a DevOps, software, automation, and design company.",operations northern western europe eficode devops software automation design company,-1
43,Finland,Sensible 4,Sensible4 is a self-driving vehicle software firm that builds self-driving automobiles that can be used all year.,Southern Finland,Espoo,2017.0,"Harri Santamala, Jari Saarinen, Jussi Suomela, Tommi Rimpiläinen","Artificial Intelligence, Automotive, Autonomous Vehicles, Machine Learning, Software",51-100,"$7,000,000",1.0,2.0,"[""ITOCHU Corporation"", ""NordicNinja VC""]",https://www.failory.com/startups/finland,51.0,100.0,7000000.0,"[""Artificial Intelligence"", ""Automotive"", ""Autonomous Vehicles"", ""Machine Learning"", ""Software""]","[""Harri Santamala"", ""Jari Saarinen"", ""Jussi Suomela"", ""Tommi Rimpil\u00c3\u00a4inen""]",Sensible4 is a self-driving vehicle software firm that builds self-driving automobiles that can be used all year.,sensible self driving vehicle software firm builds self driving automobiles used year,0
44,Finland,Freska,Freska is a firm located in the Nordics that provides on-demand internet house cleaning services.,Southern Finland,Helsinki,2015.0,"Erik Dalland, Esa Vuolas, Sebastian Heinrichs","Home Services, Housekeeping Service, Service Industry",501-1000,"$13,785,219",3.0,6.0,"[""Acton Capital"", ""Spintop Ventures"", ""Momentum Partners"", ""Olli Sirki\u00c3\u00a4"", ""Lasse Smedsvig""]",https://www.failory.com/startups/finland,501.0,1000.0,13785219.0,"[""Home Services"", ""Housekeeping Service"", ""Service Industry""]","[""Erik Dalland"", ""Esa Vuolas"", ""Sebastian Heinrichs""]",Freska is a firm located in the Nordics that provides on-demand internet house cleaning services.,freska firm located nordics provides demand internet house cleaning services,-1
45,Finland,Leadfeeder,Leadfeeder is a B2B sales lead creation platform that assists in converting interested visitors into sales leads.,Southern Finland,Helsinki,2012.0,"Herkko Kiljunen, Pekka Koskinen, Vicent Llongo","Advertising, Analytics, B2B, Internet, Lead Generation",51-100,,3.0,3.0,"[""Endeit Capital"", ""Vendep Capital"", ""Superhero Capital""]",https://www.failory.com/startups/finland,51.0,100.0,,"[""Advertising"", ""Analytics"", ""B2B"", ""Internet"", ""Lead Generation""]","[""Herkko Kiljunen"", ""Pekka Koskinen"", ""Vicent Llongo""]",Leadfeeder is a B2B sales lead creation platform that assists in converting interested visitors into sales leads.,leadfeeder b b sales lead creation platform assists converting interested visitors sales leads,-1
46,Finland,Nightingale Health,Nightingale Health is a biotechnology business that is revolutionizing chronic disease prevention.,Southern Finland,Helsinki,2013.0,"Antti Kangas, Antti Kangas, Pasi Soininen, Peter Würtz, Teemu Suna","Biotechnology, Health Care, Medical",51-100,,6.0,9.0,"[""European Investment Bank"", ""StartUp Health"", ""Mitsui & Co"", ""Business Finland"", ""Nordea""]",https://www.failory.com/startups/finland,51.0,100.0,,"[""Biotechnology"", ""Health Care"", ""Medical""]","[""Antti Kangas"", ""Antti Kangas"", ""Pasi Soininen"", ""Peter W\u00c3\u00bcrtz"", ""Teemu Suna""]",Nightingale Health is a biotechnology business that is revolutionizing chronic disease prevention.,nightingale health biotechnology business revolutionizing chronic disease prevention,2
47,Finland,Mash,"One of Europe's fastest-growing FinTech startups, focusing on payments and lending innovation.",Southern Finland,Helsinki,2007.0,Tommi Lindfors,"Banking, Consumer Lending, Finance, Financial Services, FinTech, Micro Lending, Mobile Payments, Payments, Point of Sale",101-250,,7.0,2.0,"[""Fortress Investment Group"", ""Finstar Financial Group""]",https://www.failory.com/startups/finland,101.0,250.0,,"[""Banking"", ""Consumer Lending"", ""Finance"", ""Financial Services"", ""FinTech"", ""Micro Lending"", ""Mobile Payments"", ""Payments"", ""Point of Sale""]","[""Tommi Lindfors""]","One of Europe's fastest-growing FinTech startups, focusing on payments and lending innovation.",one europe fastest growing fintech startups focusing payments lending innovation,7
48,Finland,Sulapac,"With biodegradable packaging innovation, Sulapac addresses the global plastic waste problem.",Southern Finland,Helsinki,2016.0,"Antti Parssinen, Laura Kyllönen, Suvi Haimi","CleanTech, Packaging Services, Plastics and Rubber Manufacturing, Sustainability",11-50,,5.0,11.0,"[""Lifeline Ventures"", ""Mousse Partners"", ""Business Finland"", ""Bonnier Ventures"", ""EASME - EU Executive Agency for SMEs""]",https://www.failory.com/startups/finland,11.0,50.0,,"[""CleanTech"", ""Packaging Services"", ""Plastics and Rubber Manufacturing"", ""Sustainability""]","[""Antti Parssinen"", ""Laura Kyll\u00c3\u00b6nen"", ""Suvi Haimi""]","With biodegradable packaging innovation, Sulapac addresses the global plastic waste problem.",biodegradable packaging innovation sulapac addresses global plastic waste problem,2
49,Finland,Blok,Blok is a digital real estate agency and one of Finland's most popular startups.,Southern Finland,Helsinki,2017.0,"Olli Gunst, Rudi Skogman","Digital Media, Real Estate",1-10,,3.0,5.0,"[""Lifeline Ventures"", ""Picus Capital"", ""Bonnier Ventures"", ""Ringier Digital Ventures"", ""FiBAN - Finnish Business Angels Network""]",https://www.failory.com/startups/finland,1.0,10.0,,"[""Digital Media"", ""Real Estate""]","[""Olli Gunst"", ""Rudi Skogman""]",Blok is a digital real estate agency and one of Finland's most popular startups.,blok digital real estate agency one finland popular startups,1
50,Finland,Smarp,Smarp is a major SaaS solution for employee communications and advocacy.,Southern Finland,Helsinki,2011.0,"Mikael Lauharanta, Roope Heinilä, Tommi Huovinen","Apps, B2B, Enterprise Software, Information and Communications Technology (ICT), Information Technology, SaaS, Social Media",51-100,,9.0,4.0,"[""Business Finland"", ""Nauta Capital"", ""Finnvera Venture Capital"", ""Visionplus""]",https://www.failory.com/startups/finland,51.0,100.0,,"[""Apps"", ""B2B"", ""Enterprise Software"", ""Information and Communications Technology (ICT)"", ""Information Technology"", ""SaaS"", ""Social Media""]","[""Mikael Lauharanta"", ""Roope Heinil\u00c3\u00a4"", ""Tommi Huovinen""]",Smarp is a major SaaS solution for employee communications and advocacy.,smarp major saas solution employee communications advocacy,-1
51,Finland,Spinnova,"Spinnova is an innovative, environmentally friendly breakthrough that converts cellulose into textile fiber without the use of toxic chemicals.",Western Finland,Jyvã¤Skylã¤,2014.0,"Janne Poranen, Juha Salmela",Textiles,11-50,,2.0,2.0,"[""European Investment Bank"", ""Business Finland""]",https://www.failory.com/startups/finland,11.0,50.0,,"[""Textiles""]","[""Janne Poranen"", ""Juha Salmela""]","Spinnova is an innovative, environmentally friendly breakthrough that converts cellulose into textile fiber without the use of toxic chemicals.",spinnova innovative environmentally friendly breakthrough converts cellulose textile fiber without use toxic chemicals,-1
52,Finland,Speechly,Speechly uses deep learning and natural language processing technology to provide speech interfaces for professional products and services.,Southern Finland,Helsinki,2016.0,Otto Söderlund,"Artificial Intelligence, Computer, Machine Learning, Software",11-50,,1.0,7.0,"[""Seedcamp"", ""Cherry Ventures"", ""Social Starts"", ""Nicolas Dessaigne"", ""Tiny VC""]",https://www.failory.com/startups/finland,11.0,50.0,,"[""Artificial Intelligence"", ""Computer"", ""Machine Learning"", ""Software""]","[""Otto S\u00c3\u00b6derlund""]",Speechly uses deep learning and natural language processing technology to provide speech interfaces for professional products and services.,speechly uses deep learning natural language processing technology provide speech interfaces professional products services,-1
53,Finland,Bonusway,"Bonusway is a web-based platform that offers ecommerce loyalty programs, cash rewards, and online shopping solutions to its consumers.",Southern Finland,Helsinki,2011.0,"Lasse Järvinen, Tatu Koistinen","Advertising, Affiliate Marketing, Coupons, E-Commerce, Loyalty Programs, Shopping",101-250,,6.0,3.0,"[""Flashpoint"", ""Business Finland"", ""Visionplus""]",https://www.failory.com/startups/finland,101.0,250.0,,"[""Advertising"", ""Affiliate Marketing"", ""Coupons"", ""E-Commerce"", ""Loyalty Programs"", ""Shopping""]","[""Lasse J\u00c3\u00a4rvinen"", ""Tatu Koistinen""]","Bonusway is a web-based platform that offers ecommerce loyalty programs, cash rewards, and online shopping solutions to its consumers.",bonusway web based platform offers ecommerce loyalty programs cash rewards online shopping solutions consumers,7
54,Finland,HappyOrNot,"HappyOrNot specializes on real-time customer and staff experience management, allowing businesses to improve their efficiency.",Western Finland,Tampere,2009.0,"Heikki Väänänen, Ville Levaniemi","Analytics, Customer Service, Developer Tools, Information Services, Information Technology",101-250,"$40,226,453",3.0,4.0,"[""Verdane"", ""Northzone"", ""AirTree Ventures"", ""EASME - EU Executive Agency for SMEs""]",https://www.failory.com/startups/finland,101.0,250.0,40226453.0,"[""Analytics"", ""Customer Service"", ""Developer Tools"", ""Information Services"", ""Information Technology""]","[""Heikki V\u00c3\u00a4\u00c3\u00a4n\u00c3\u00a4nen"", ""Ville Levaniemi""]","HappyOrNot specializes on real-time customer and staff experience management, allowing businesses to improve their efficiency.",happyornot specializes real time customer staff experience management allowing businesses improve efficiency,-1
55,Finland,Nosto,Nosto is an e-commerce platform that provides personalized product recommendations based on user behavior.,Southern Finland,Helsinki,2011.0,"Antti Pöyhönen, Jani Luostarinen, Juha Valvanne","Analytics, Big Data, E-Commerce, Internet, Marketing Automation, Personalization, SEO, Software",51-100,"$32,806,669",4.0,7.0,"[""Idinvest Partners"", ""European Investment Bank"", ""OpenOcean"", ""Business Finland"", ""Wellington Partners""]",https://www.failory.com/startups/finland,51.0,100.0,32806669.0,"[""Analytics"", ""Big Data"", ""E-Commerce"", ""Internet"", ""Marketing Automation"", ""Personalization"", ""SEO"", ""Software""]","[""Antti P\u00c3\u00b6yh\u00c3\u00b6nen"", ""Jani Luostarinen"", ""Juha Valvanne""]",Nosto is an e-commerce platform that provides personalized product recommendations based on user behavior.,nosto e commerce platform provides personalized product recommendations based user behavior,-1
56,Finland,Nordcloud,assisting businesses in transforming their businesses through the use of the public cloud,Southern Finland,Helsinki,2011.0,Fernando Herrera,"Cloud Computing, Information Services, Software",251-500,"$25,030,997",3.0,4.0,"[""EIT Digital Accelerator"", ""Finnvera Venture Capital"", ""OP Corporate Bank"", ""LocalTapiola Mutual Insurance Company""]",https://www.failory.com/startups/finland,251.0,500.0,25030997.0,"[""Cloud Computing"", ""Information Services"", ""Software""]","[""Fernando Herrera""]",assisting businesses in transforming their businesses through the use of the public cloud,assisting businesses transforming businesses use public cloud,-1
57,Finland,Sharetribe,The simplest method for setting up your own peer-to-peer marketplace.,Southern Finland,Helsinki,2011.0,"Antti Virolainen, Juho Makkonen","Collaborative Consumption, E-Commerce, Internet, Marketplace, Software",1-10,"$2,402,049",4.0,3.0,"[""Lifeline Ventures"", ""Start-Up Chile"", ""Reaktor Ventures""]",https://www.failory.com/startups/finland,1.0,10.0,2402049.0,"[""Collaborative Consumption"", ""E-Commerce"", ""Internet"", ""Marketplace"", ""Software""]","[""Antti Virolainen"", ""Juho Makkonen""]",The simplest method for setting up your own peer-to-peer marketplace.,simplest method setting peer peer marketplace,-1
58,Finland,UpCloud,UpCloud has the fastest cloud servers in the world.,Southern Finland,Helsinki,2011.0,Joel Pihlajamaa,"Cloud Computing, Cloud Data Services, IaaS, Web Hosting",11-50,,2.0,3.0,"[""Inventure"", ""Tesi"", ""Connected Capital""]",https://www.failory.com/startups/finland,11.0,50.0,,"[""Cloud Computing"", ""Cloud Data Services"", ""IaaS"", ""Web Hosting""]","[""Joel Pihlajamaa""]",UpCloud has the fastest cloud servers in the world.,upcloud fastest cloud servers world,-1
59,Finland,Holvi,Holvi is a digital banking service for independent contractors and small business owners.,Southern Finland,Helsinki,2011.0,"Kristoffer Lawson, Mikko Teerenhovi, Teemu Hukkanen, Tuomas Toivonen","Banking, Finance, Financial Services, FinTech",101-250,,6.0,4.0,"[""Seedcamp"", ""Speedinvest"", ""Johan Lorenzen"", ""Thomas Madsen-Mygdal""]",https://www.failory.com/startups/finland,101.0,250.0,,"[""Banking"", ""Finance"", ""Financial Services"", ""FinTech""]","[""Kristoffer Lawson"", ""Mikko Teerenhovi"", ""Teemu Hukkanen"", ""Tuomas Toivonen""]",Holvi is a digital banking service for independent contractors and small business owners.,holvi digital banking service independent contractors small business owners,7
60,Finland,Bob W,A respectable tech firm with a hospitality division. Bob is creating a more upscale alternative to hotels and short-term rentals.,Southern Finland,Helsinki,2018.0,"Niko Karstikko, Niko Karstikko, Sebastian Emberger",Hospitality,11-50,,2.0,6.0,"[""byFounders"", ""Superangel"", ""Tesi"", ""United Angels VC"", ""2150""]",https://www.failory.com/startups/finland,11.0,50.0,,"[""Hospitality""]","[""Niko Karstikko"", ""Niko Karstikko"", ""Sebastian Emberger""]",A respectable tech firm with a hospitality division. Bob is creating a more upscale alternative to hotels and short-term rentals.,respectable tech firm hospitality division bob creating upscale alternative hotels short term rentals,1
61,Finland,Small Giant Games,"Small Giant Games is a Helsinki, Finland-based indie game development studio.",Southern Finland,Helsinki,2013.0,"Markus Halttunen, Timo Soininen","Mobile, PC Games, Software, Video Games",11-50,"$50,562,955",4.0,7.0,"[""EQT Ventures"", ""Creandum"", ""PROfounders Capital"", ""First Fellow Partners"", ""Spintop Ventures""]",https://www.failory.com/startups/finland,11.0,50.0,50562955.0,"[""Mobile"", ""PC Games"", ""Software"", ""Video Games""]","[""Markus Halttunen"", ""Timo Soininen""]","Small Giant Games is a Helsinki, Finland-based indie game development studio.",small giant games helsinki finland based indie game development studio,5
62,Finland,Skand,Skand is a Nordic designer and manufacturer of light electric vehicles that may be used all year.,Southern Finland,Vantaa,2015.0,"Anssi Helminen, Eva Adlercreutz Carrero, Miika Utoslahti, Stefan Wennström","Automotive, Electric Vehicle",11-50,,2.0,,[],https://www.failory.com/startups/finland,11.0,50.0,,"[""Automotive"", ""Electric Vehicle""]","[""Anssi Helminen"", ""Eva Adlercreutz Carrero"", ""Miika Utoslahti"", ""Stefan Wennstr\u00c3\u00b6m""]",Skand is a Nordic designer and manufacturer of light electric vehicles that may be used all year.,skand nordic designer manufacturer light electric vehicles may used year,0
63,Finland,Ilmatar,Ilmatar is a renewable energy integrator with a project-oriented approach.,Southern Finland,Helsinki,2011.0,Kalle Pykälä,Energy,11-50,,1.0,1.0,"[""Omnes Capital""]",https://www.failory.com/startups/finland,11.0,50.0,,"[""Energy""]","[""Kalle Pyk\u00c3\u00a4l\u00c3\u00a4""]",Ilmatar is a renewable energy integrator with a project-oriented approach.,ilmatar renewable energy integrator project oriented approach,0
64,Finland,HEI Schools,SaaS licensing concept for early education,Southern Finland,Helsinki,2015.0,Milla Kokko,"EdTech, Education, Primary Education, STEM Education, Training",11-50,,2.0,2.0,"[""Practica Capital"", ""Tesi""]",https://www.failory.com/startups/finland,11.0,50.0,,"[""EdTech"", ""Education"", ""Primary Education"", ""STEM Education"", ""Training""]","[""Milla Kokko""]",SaaS licensing concept for early education,saas licensing concept early education,-1
65,Finland,Valohai,"The Valohai MLOps platform makes machine learning in production simple. Machine orchestration, version control, and pipeline collaboration can all be automated.",Western Finland,Turku,2016.0,"Aarni Koskela, Eero Laaksonen, Otso Rasimus, Ruksi Laine","Analytics, Artificial Intelligence, Cloud Infrastructure, Enterprise Software, Machine Learning, Software",11-50,"$1,800,000",2.0,4.0,"[""Angular Ventures"", ""Business Finland"", ""Superhero Capital"", ""Reaktor Ventures""]",https://www.failory.com/startups/finland,11.0,50.0,1800000.0,"[""Analytics"", ""Artificial Intelligence"", ""Cloud Infrastructure"", ""Enterprise Software"", ""Machine Learning"", ""Software""]","[""Aarni Koskela"", ""Eero Laaksonen"", ""Otso Rasimus"", ""Ruksi Laine""]","The Valohai MLOps platform makes machine learning in production simple. Machine orchestration, version control, and pipeline collaboration can all be automated.",valohai mlops platform makes machine learning production simple machine orchestration version control pipeline collaboration automated,11
66,Finland,Quuppa,Quuppa is a software platform that offers sophisticated real-time location services and applications.,Southern Finland,Espoo,2012.0,"Antti Kainulainen, Fabio Belloni, Kimmo Kalliola","Customer Service, Information Services, Information Technology, Location Based Services, Software",51-100,,2.0,3.0,"[""EIT Digital Accelerator"", ""Bocap"", ""Tech Consulting Group""]",https://www.failory.com/startups/finland,51.0,100.0,,"[""Customer Service"", ""Information Services"", ""Information Technology"", ""Location Based Services"", ""Software""]","[""Antti Kainulainen"", ""Fabio Belloni"", ""Kimmo Kalliola""]",Quuppa is a software platform that offers sophisticated real-time location services and applications.,quuppa software platform offers sophisticated real time location services applications,-1
67,Finland,Invesdor,A major European fintech startup that makes it simple and fair for everyone to participate in growth finance.,Southern Finland,Helsinki,2012.0,"Jouni Leskinen, Lare Lekman, Lasse Mäkelä, Miikka Poutiainen, Petteri Poutiainen, Timo Lappi","Crowdfunding, Financial Services, FinTech, Internet",11-50,,13.0,9.0,"[""Speedinvest"", ""Business Finland"", ""Taaleri"", ""Manny Fernandez"", ""Alexandria Asset Management""]",https://www.failory.com/startups/finland,11.0,50.0,,"[""Crowdfunding"", ""Financial Services"", ""FinTech"", ""Internet""]","[""Jouni Leskinen"", ""Lare Lekman"", ""Lasse M\u00c3\u00a4kel\u00c3\u00a4"", ""Miikka Poutiainen"", ""Petteri Poutiainen"", ""Timo Lappi""]",A major European fintech startup that makes it simple and fair for everyone to participate in growth finance.,major european fintech startup makes simple fair everyone participate growth finance,7
1,France,Ledger,Ledger provides security and infrastructure solutions for key digital assets to consumers and institutional investors.,Ile-De-France,Paris,2014.0,"Eric Larchevêque, Joel Pobeda, Nicolas Bacca, Thomas France","Blockchain, Cryptocurrency, Cyber Security, SaaS",101-250,"$467,959,855",8.0,50.0,"[""Animoca Brands"", ""Draper Esprit"", ""Digital Currency Group"", ""Uphold"", ""Bpifrance""]",https://www.failory.com/startups/france,101.0,250.0,467959855.0,"[""Blockchain"", ""Cryptocurrency"", ""Cyber Security"", ""SaaS""]","[""Eric Larchev\u00c3\u00aaque"", ""Joel Pobeda"", ""Nicolas Bacca"", ""Thomas France""]",Ledger provides security and infrastructure solutions for key digital assets to consumers and institutional investors.,ledger provides security infrastructure solutions key digital assets consumers institutional investors,7
2,France,Contentsquare,Contentsquare creates a digital experience analytics tool that allows companies to analyze client activity online.,Ile-De-France,Paris,2012.0,Jonathan Cherki,"Analytics, Artificial Intelligence, CRM, E-Commerce, SaaS, Sales Automation",501-1000,"$812,000,000",5.0,10.0,"[""Eurazeo"", ""SoftBank Vision Fund"", ""Canaan Partners"", ""Bpifrance"", ""Kohlberg Kravis Roberts""]",https://www.failory.com/startups/france,501.0,1000.0,812000000.0,"[""Analytics"", ""Artificial Intelligence"", ""CRM"", ""E-Commerce"", ""SaaS"", ""Sales Automation""]","[""Jonathan Cherki""]",Contentsquare creates a digital experience analytics tool that allows companies to analyze client activity online.,contentsquare creates digital experience analytics tool allows companies analyze client activity online,-1
